Date,City,Country,% Change In Waze Driven Miles/KMs
"Jun 29, 2020",Miami Beach,United States,-0.99
"Jun 29, 2020",Toronto,Canada,-0.99
"Jun 29, 2020",Monterrey,Mexico,-0.99
"Jun 29, 2020",Lisbon,Portugal,-0.99
"Jun 29, 2020",Cambridge,United States,-0.99
"Jun 29, 2020",Marseille,France,-0.98
"Jun 29, 2020",Fort Worth,United States,-0.98
"Jun 29, 2020",Boston,United States,-0.98
"Jun 29, 2020",Denver,United States,-0.98
"Jun 29, 2020",Austin,United States,-0.98
"Jun 29, 2020",Kyiv,Ukraine,-0.98
"Jun 29, 2020",South Tangerang,Indonesia,-0.98
"Jun 29, 2020",Rishon Letsiyon,Israel,-0.97
"Jun 29, 2020",Miami,United States,-0.97
"Jun 29, 2020",Orlando,United States,-0.97
"Jun 29, 2020",Manila,Philippines,-0.96
"Jun 29, 2020",New Orleans,United States,-0.95
"Jun 29, 2020",Shah Alam,Malaysia,-0.95
"Jun 29, 2020",Baltimore,United States,-0.95
"Jun 29, 2020",Puebla City,Mexico,-0.95
"Jun 29, 2020",Pittsburgh,United States,-0.94
"Jun 29, 2020",Ramat Gan,Israel,-0.94
"Jun 29, 2020",Montevideo,Uruguay,-0.93
"Jun 29, 2020",Guadalajara,Mexico,-0.92
"Jun 29, 2020",Maipu,Chile,-0.9
"Jun 29, 2020",Irvine,United States,-0.88
"Jun 29, 2020",Lille,France,-0.87
"Jun 29, 2020",Quebec City,Canada,-0.86
"Jun 29, 2020",Vilnius,Lithuania,-0.86
"Jun 29, 2020",Tangerang,Indonesia,-0.82
"Jun 29, 2020",Ipoh,Malaysia,-0.81
"Jun 29, 2020",Minneapolis,United States,-0.58
"Jun 28, 2020",Miami Beach,United States,-0.89
"Jun 28, 2020",Lima,Peru,-0.86
"Jun 28, 2020",Tampa,United States,-0.79
"Jun 28, 2020",Makati,Philippines,-0.76
"Jun 28, 2020",Buenos Aires,Argentina,-0.75
"Jun 28, 2020",Santiago,Chile,-0.74
"Jun 28, 2020",Florianopolis,Brazil,-0.74
"Jun 28, 2020",Las Condes,Chile,-0.73
"Jun 28, 2020",Maipu,Chile,-0.69
"Jun 28, 2020",New Orleans,United States,-0.69
"Jun 28, 2020",San Jose,Costa Rica,-0.68
"Jun 28, 2020",Quito,Ecuador,-0.64
"Jun 28, 2020",Bekasi,Indonesia,-0.63
"Jun 28, 2020",Salvador,Brazil,-0.62
"Jun 28, 2020",Mexico City,Mexico,-0.62
"Jun 28, 2020",Medellin,Colombia,-0.62
"Jun 28, 2020",Vitoria,Brazil,-0.62
"Jun 28, 2020",Bogota,Colombia,-0.61
"Jun 28, 2020",Brasilia,Brazil,-0.6
"Jun 28, 2020",Jakarta,Indonesia,-0.58
"Jun 28, 2020",Curitiba,Brazil,-0.57
"Jun 28, 2020",Santiago De Queretaro,Mexico,-0.56
"Jun 28, 2020",Puebla City,Mexico,-0.56
"Jun 28, 2020",Recife,Brazil,-0.56
"Jun 28, 2020",Cali,Colombia,-0.55
"Jun 28, 2020",Belo Horizonte,Brazil,-0.54
"Jun 28, 2020",Rio De Janeiro,Brazil,-0.54
"Jun 28, 2020",Quezon City,Philippines,-0.53
"Jun 28, 2020",Monterrey,Mexico,-0.53
"Jun 28, 2020",Birmingham,United Kingdom,-0.52
"Jun 28, 2020",Manila,Philippines,-0.49
"Jun 28, 2020",Zapopan,Mexico,-0.49
