Date,Country,% Change In Waze Driven Miles/KMs
"Nov 4, 2021",United States,-0.03
"Nov 4, 2021",Italy,0.16
"Nov 4, 2021",Spain,0.21
"Nov 4, 2021",Malaysia,0.31
"Nov 4, 2021",France,0.34
"Nov 3, 2021",United States,-0.06
"Nov 3, 2021",Italy,0.18
"Nov 3, 2021",Spain,0.25
"Nov 3, 2021",France,0.37
"Nov 3, 2021",Malaysia,0.39
"Nov 2, 2021",United States,-0.07
"Nov 2, 2021",Malaysia,0.16
"Nov 2, 2021",Spain,0.36
"Nov 2, 2021",Italy,0.41
"Nov 2, 2021",France,0.45
"Nov 1, 2021",United States,-0.06
"Nov 1, 2021",Malaysia,0.15
"Nov 1, 2021",France,0.71
"Nov 1, 2021",Italy,0.72
"Nov 1, 2021",Spain,1.03
"Oct 31, 2021",Spain,0.02
"Oct 31, 2021",United States,0.03
"Oct 31, 2021",France,0.16
"Oct 31, 2021",Italy,0.18
"Oct 31, 2021",Malaysia,0.19
"Oct 30, 2021",United States,-0.03
"Oct 30, 2021",Malaysia,0.1
"Oct 30, 2021",France,0.27
"Oct 30, 2021",Spain,0.56
"Oct 30, 2021",Italy,0.59
"Oct 29, 2021",United States,0.0
"Oct 29, 2021",Malaysia,0.07
"Oct 29, 2021",France,0.36
"Oct 29, 2021",Italy,0.38
"Oct 29, 2021",Spain,0.53
"Oct 28, 2021",United States,0.0
"Oct 28, 2021",Malaysia,0.08
"Oct 28, 2021",Italy,0.27
"Oct 28, 2021",Spain,0.34
"Oct 28, 2021",France,0.43
"Oct 27, 2021",United States,-0.03
"Oct 27, 2021",Malaysia,0.08
"Oct 27, 2021",Italy,0.25
"Oct 27, 2021",Spain,0.3
"Oct 27, 2021",France,0.4
"Oct 26, 2021",United States,-0.08
"Oct 26, 2021",Malaysia,0.06
"Oct 26, 2021",Spain,0.27
"Oct 26, 2021",Italy,0.3
"Oct 26, 2021",France,0.35
"Oct 25, 2021",United States,-0.02
"Oct 25, 2021",Malaysia,0.09
"Oct 25, 2021",Italy,0.23
"Oct 25, 2021",Spain,0.23
"Oct 25, 2021",France,0.32
"Oct 24, 2021",Malaysia,0.09
"Oct 24, 2021",United States,0.19
"Oct 24, 2021",Spain,0.2
"Oct 24, 2021",France,0.29
"Oct 24, 2021",Italy,0.3
"Oct 23, 2021",Malaysia,0.0
"Oct 23, 2021",United States,0.06
"Oct 23, 2021",France,0.12
"Oct 23, 2021",Italy,0.23
"Oct 23, 2021",Spain,0.33
"Oct 22, 2021",Malaysia,0.01
"Oct 22, 2021",United States,0.05
"Oct 22, 2021",Italy,0.14
"Oct 22, 2021",Spain,0.16
"Oct 22, 2021",France,0.21
"Oct 21, 2021",United States,0.03
"Oct 21, 2021",Malaysia,0.04
"Oct 21, 2021",Italy,0.19
"Oct 21, 2021",Spain,0.21
"Oct 21, 2021",France,0.27
"Oct 20, 2021",United States,-0.02
"Oct 20, 2021",Malaysia,0.06
"Oct 20, 2021",Italy,0.19
"Oct 20, 2021",Spain,0.23
"Oct 20, 2021",France,0.25
"Oct 19, 2021",United States,-0.03
"Oct 19, 2021",Malaysia,0.18
"Oct 19, 2021",Spain,0.21
"Oct 19, 2021",Italy,0.25
"Oct 19, 2021",France,0.28
"Oct 18, 2021",United States,0.01
"Oct 18, 2021",Malaysia,0.14
"Oct 18, 2021",Spain,0.19
"Oct 18, 2021",Italy,0.23
"Oct 18, 2021",France,0.26
"Oct 17, 2021",Malaysia,0.09
"Oct 17, 2021",Spain,0.19
"Oct 17, 2021",France,0.21
"Oct 17, 2021",United States,0.22
"Oct 17, 2021",Italy,0.35
"Oct 16, 2021",France,-0.03
"Oct 16, 2021",Malaysia,0.06
"Oct 16, 2021",United States,0.1
"Oct 16, 2021",Italy,0.23
"Oct 16, 2021",Spain,0.23
"Oct 15, 2021",Malaysia,0.06
"Oct 15, 2021",United States,0.08
"Oct 15, 2021",Spain,0.15
"Oct 15, 2021",Italy,0.17
"Oct 15, 2021",France,0.17
"Oct 14, 2021",Malaysia,0.03
"Oct 14, 2021",United States,0.04
"Oct 14, 2021",Spain,0.19
"Oct 14, 2021",Italy,0.22
"Oct 14, 2021",France,0.29
"Oct 13, 2021",Malaysia,0.02
"Oct 13, 2021",United States,0.03
"Oct 13, 2021",Italy,0.19
"Oct 13, 2021",France,0.27
"Oct 13, 2021",Spain,0.37
"Oct 12, 2021",Malaysia,0.0
"Oct 12, 2021",United States,0.04
"Oct 12, 2021",France,0.24
"Oct 12, 2021",Italy,0.24
"Oct 12, 2021",Spain,1.2
"Oct 11, 2021",Malaysia,-0.03
"Oct 11, 2021",United States,0.06
"Oct 11, 2021",Italy,0.27
"Oct 11, 2021",France,0.28
"Oct 11, 2021",Spain,0.33
"Oct 10, 2021",Malaysia,-0.13
"Oct 10, 2021",Spain,0.16
"Oct 10, 2021",United States,0.22
"Oct 10, 2021",France,0.26
"Oct 10, 2021",Italy,0.33
"Oct 9, 2021",Malaysia,-0.15
"Oct 9, 2021",France,-0.01
"Oct 9, 2021",United States,0.15
"Oct 9, 2021",Italy,0.25
"Oct 9, 2021",Spain,0.74
"Oct 8, 2021",Malaysia,-0.16
"Oct 8, 2021",United States,0.13
"Oct 8, 2021",Italy,0.2
"Oct 8, 2021",France,0.21
"Oct 8, 2021",Spain,0.7
"Oct 7, 2021",Malaysia,-0.14
"Oct 7, 2021",United States,0.06
"Oct 7, 2021",Italy,0.22
"Oct 7, 2021",France,0.29
"Oct 7, 2021",Spain,0.34
"Oct 6, 2021",Malaysia,-0.13
"Oct 6, 2021",United States,-0.01
"Oct 6, 2021",Italy,0.2
"Oct 6, 2021",France,0.27
"Oct 6, 2021",Spain,0.27
"Oct 5, 2021",Malaysia,-0.15
"Oct 5, 2021",United States,-0.05
"Oct 5, 2021",Spain,0.24
"Oct 5, 2021",France,0.25
"Oct 5, 2021",Italy,0.25
"Oct 4, 2021",Malaysia,-0.16
"Oct 4, 2021",United States,-0.06
"Oct 4, 2021",France,0.19
"Oct 4, 2021",Spain,0.21
"Oct 4, 2021",Italy,0.21
"Oct 3, 2021",Malaysia,-0.2
"Oct 3, 2021",France,0.1
"Oct 3, 2021",United States,0.13
"Oct 3, 2021",Spain,0.15
"Oct 3, 2021",Italy,0.27
"Oct 2, 2021",Malaysia,-0.22
"Oct 2, 2021",France,-0.06
"Oct 2, 2021",United States,0.04
"Oct 2, 2021",Italy,0.26
"Oct 2, 2021",Spain,0.28
"Oct 1, 2021",Malaysia,-0.23
"Oct 1, 2021",United States,0.06
"Oct 1, 2021",France,0.13
"Oct 1, 2021",Italy,0.19
"Oct 1, 2021",Spain,0.2
"Sep 30, 2021",Malaysia,-0.19
"Sep 30, 2021",United States,0.02
"Sep 30, 2021",Italy,0.22
"Sep 30, 2021",France,0.25
"Sep 30, 2021",Spain,0.25
"Sep 29, 2021",Malaysia,-0.2
"Sep 29, 2021",United States,-0.04
"Sep 29, 2021",France,0.23
"Sep 29, 2021",Italy,0.23
"Sep 29, 2021",Spain,0.23
"Sep 28, 2021",Malaysia,-0.19
"Sep 28, 2021",United States,-0.08
"Sep 28, 2021",Spain,0.2
"Sep 28, 2021",France,0.27
"Sep 28, 2021",Italy,0.32
"Sep 27, 2021",Malaysia,-0.19
"Sep 27, 2021",United States,-0.02
"Sep 27, 2021",Spain,0.22
"Sep 27, 2021",France,0.25
"Sep 27, 2021",Italy,0.28
"Sep 26, 2021",Malaysia,-0.29
"Sep 26, 2021",United States,0.18
"Sep 26, 2021",France,0.21
"Sep 26, 2021",Spain,0.32
"Sep 26, 2021",Italy,0.35
"Sep 25, 2021",Malaysia,-0.3
"Sep 25, 2021",France,0.0
"Sep 25, 2021",United States,0.07
"Sep 25, 2021",Spain,0.25
"Sep 25, 2021",Italy,0.36
"Sep 24, 2021",Malaysia,-0.29
"Sep 24, 2021",United States,0.05
"Sep 24, 2021",France,0.18
"Sep 24, 2021",Spain,0.22
"Sep 24, 2021",Italy,0.27
"Sep 23, 2021",Malaysia,-0.26
"Sep 23, 2021",United States,0.0
"Sep 23, 2021",France,0.26
"Sep 23, 2021",Italy,0.28
"Sep 23, 2021",Spain,0.32
"Sep 22, 2021",Malaysia,-0.24
"Sep 22, 2021",United States,-0.05
"Sep 22, 2021",France,0.28
"Sep 22, 2021",Spain,0.28
"Sep 22, 2021",Italy,0.29
"Sep 21, 2021",Malaysia,-0.24
"Sep 21, 2021",United States,-0.07
"Sep 21, 2021",Spain,0.25
"Sep 21, 2021",France,0.29
"Sep 21, 2021",Italy,0.35
"Sep 20, 2021",Malaysia,-0.22
"Sep 20, 2021",United States,-0.02
"Sep 20, 2021",Spain,0.27
"Sep 20, 2021",France,0.28
"Sep 20, 2021",Italy,0.36
"Sep 19, 2021",Malaysia,-0.34
"Sep 19, 2021",United States,0.17
"Sep 19, 2021",France,0.24
"Sep 19, 2021",Spain,0.34
"Sep 19, 2021",Italy,0.38
"Sep 18, 2021",Malaysia,-0.37
"Sep 18, 2021",France,0.01
"Sep 18, 2021",United States,0.06
"Sep 18, 2021",Spain,0.31
"Sep 18, 2021",Italy,0.36
"Sep 17, 2021",Malaysia,-0.34
"Sep 17, 2021",United States,0.03
"Sep 17, 2021",France,0.19
"Sep 17, 2021",Spain,0.25
"Sep 17, 2021",Italy,0.26
"Sep 16, 2021",Malaysia,-0.28
"Sep 16, 2021",United States,-0.01
"Sep 16, 2021",France,0.27
"Sep 16, 2021",Spain,0.28
"Sep 16, 2021",Italy,0.3
"Sep 15, 2021",Malaysia,-0.18
"Sep 15, 2021",United States,-0.03
"Sep 15, 2021",France,0.28
"Sep 15, 2021",Italy,0.31
"Sep 15, 2021",Spain,0.31
"Sep 14, 2021",Malaysia,-0.23
"Sep 14, 2021",United States,-0.1
"Sep 14, 2021",France,0.3
"Sep 14, 2021",Spain,0.31
"Sep 14, 2021",Italy,0.4
"Sep 13, 2021",Malaysia,-0.24
"Sep 13, 2021",United States,-0.05
"Sep 13, 2021",France,0.31
"Sep 13, 2021",Spain,0.33
"Sep 13, 2021",Italy,0.41
"Sep 12, 2021",Malaysia,-0.36
"Sep 12, 2021",United States,0.11
"Sep 12, 2021",France,0.32
"Sep 12, 2021",Spain,0.44
"Sep 12, 2021",Italy,0.7
"Sep 11, 2021",Malaysia,-0.36
"Sep 11, 2021",United States,0.02
"Sep 11, 2021",France,0.06
"Sep 11, 2021",Spain,0.41
"Sep 11, 2021",Italy,0.57
"Sep 10, 2021",Malaysia,-0.36
"Sep 10, 2021",United States,0.0
"Sep 10, 2021",France,0.18
"Sep 10, 2021",Spain,0.28
"Sep 10, 2021",Italy,0.36
"Sep 9, 2021",Malaysia,-0.33
"Sep 9, 2021",United States,-0.02
"Sep 9, 2021",France,0.28
"Sep 9, 2021",Spain,0.32
"Sep 9, 2021",Italy,0.4
"Sep 8, 2021",Malaysia,-0.31
"Sep 8, 2021",United States,-0.02
"Sep 8, 2021",France,0.3
"Sep 8, 2021",Spain,0.38
"Sep 8, 2021",Italy,0.4
"Sep 7, 2021",Malaysia,-0.31
"Sep 7, 2021",United States,0.14
"Sep 7, 2021",France,0.33
"Sep 7, 2021",Spain,0.35
"Sep 7, 2021",Italy,0.46
"Sep 6, 2021",Malaysia,-0.32
"Sep 6, 2021",United States,0.11
"Sep 6, 2021",France,0.31
"Sep 6, 2021",Spain,0.44
"Sep 6, 2021",Italy,0.5
"Sep 5, 2021",Malaysia,-0.48
"Sep 5, 2021",United States,0.04
"Sep 5, 2021",France,0.24
"Sep 5, 2021",Spain,0.55
"Sep 5, 2021",Italy,0.73
"Sep 4, 2021",Malaysia,-0.47
"Sep 4, 2021",France,0.07
"Sep 4, 2021",United States,0.13
"Sep 4, 2021",Spain,0.57
"Sep 4, 2021",Italy,0.68
"Sep 3, 2021",Malaysia,-0.43
"Sep 3, 2021",France,0.14
"Sep 3, 2021",United States,0.16
"Sep 3, 2021",Spain,0.34
"Sep 3, 2021",Italy,0.38
"Sep 2, 2021",Malaysia,-0.38
"Sep 2, 2021",United States,0.03
"Sep 2, 2021",France,0.24
"Sep 2, 2021",Italy,0.33
"Sep 2, 2021",Spain,0.38
"Sep 1, 2021",Malaysia,-0.32
"Sep 1, 2021",United States,-0.03
"Sep 1, 2021",France,0.38
"Sep 1, 2021",Italy,0.42
"Sep 1, 2021",Spain,0.56
"Aug 31, 2021",Malaysia,-0.44
"Aug 31, 2021",United States,-0.04
"Aug 31, 2021",France,0.41
"Aug 31, 2021",Italy,0.55
"Aug 31, 2021",Spain,0.65
"Aug 30, 2021",Malaysia,-0.34
"Aug 30, 2021",United States,-0.05
"Aug 30, 2021",France,0.5
"Aug 30, 2021",Italy,0.79
"Aug 30, 2021",Spain,0.91
"Aug 29, 2021",Malaysia,-0.53
"Aug 29, 2021",United States,0.13
"Aug 29, 2021",France,0.59
"Aug 29, 2021",Spain,1.0
"Aug 29, 2021",Italy,1.03
"Aug 28, 2021",Malaysia,-0.51
"Aug 28, 2021",United States,0.06
"Aug 28, 2021",France,0.44
"Aug 28, 2021",Spain,1.05
"Aug 28, 2021",Italy,1.1
"Aug 27, 2021",Malaysia,-0.46
"Aug 27, 2021",United States,0.02
"Aug 27, 2021",France,0.33
"Aug 27, 2021",Spain,0.57
"Aug 27, 2021",Italy,0.57
"Aug 26, 2021",Malaysia,-0.42
"Aug 26, 2021",United States,0.03
"Aug 26, 2021",France,0.46
"Aug 26, 2021",Italy,0.6
"Aug 26, 2021",Spain,0.82
"Aug 25, 2021",Malaysia,-0.39
"Aug 25, 2021",United States,0.01
"Aug 25, 2021",France,0.49
"Aug 25, 2021",Italy,0.6
"Aug 25, 2021",Spain,0.86
"Aug 24, 2021",Malaysia,-0.4
"Aug 24, 2021",United States,-0.02
"Aug 24, 2021",France,0.37
"Aug 24, 2021",Italy,0.67
"Aug 24, 2021",Spain,0.77
"Aug 23, 2021",Malaysia,-0.39
"Aug 23, 2021",United States,-0.05
"Aug 23, 2021",France,0.53
"Aug 23, 2021",Italy,1.04
"Aug 23, 2021",Spain,1.12
"Aug 22, 2021",Malaysia,-0.54
"Aug 22, 2021",United States,0.12
"Aug 22, 2021",France,0.67
"Aug 22, 2021",Spain,1.2
"Aug 22, 2021",Italy,1.22
"Aug 21, 2021",Malaysia,-0.53
"Aug 21, 2021",United States,0.09
"Aug 21, 2021",France,0.61
"Aug 21, 2021",Spain,1.32
"Aug 21, 2021",Italy,1.44
"Aug 20, 2021",Malaysia,-0.49
"Aug 20, 2021",United States,0.06
"Aug 20, 2021",France,0.35
"Aug 20, 2021",Italy,0.63
"Aug 20, 2021",Spain,0.67
"Aug 19, 2021",Malaysia,-0.43
"Aug 19, 2021",United States,0.07
"Aug 19, 2021",France,0.48
"Aug 19, 2021",Italy,0.7
"Aug 19, 2021",Spain,0.93
"Aug 18, 2021",Malaysia,-0.43
"Aug 18, 2021",United States,0.04
"Aug 18, 2021",France,0.5
"Aug 18, 2021",Italy,0.75
"Aug 18, 2021",Spain,0.98
"Aug 17, 2021",Malaysia,-0.42
"Aug 17, 2021",United States,0.0
"Aug 17, 2021",France,0.43
"Aug 17, 2021",Italy,0.89
"Aug 17, 2021",Spain,1.03
"Aug 16, 2021",Malaysia,-0.44
"Aug 16, 2021",United States,0.05
"Aug 16, 2021",France,0.66
"Aug 16, 2021",Italy,1.34
"Aug 16, 2021",Spain,1.6
"Aug 15, 2021",Malaysia,-0.59
"Aug 15, 2021",United States,0.23
"Aug 15, 2021",France,0.67
"Aug 15, 2021",Italy,0.77
"Aug 15, 2021",Spain,1.26
"Aug 14, 2021",Malaysia,-0.58
"Aug 14, 2021",United States,0.12
"Aug 14, 2021",France,0.69
"Aug 14, 2021",Italy,1.27
"Aug 14, 2021",Spain,1.6
"Aug 13, 2021",Malaysia,-0.52
"Aug 13, 2021",United States,0.08
"Aug 13, 2021",France,0.37
"Aug 13, 2021",Italy,0.59
"Aug 13, 2021",Spain,0.73
"Aug 12, 2021",Malaysia,-0.46
"Aug 12, 2021",United States,0.08
"Aug 12, 2021",France,0.49
"Aug 12, 2021",Italy,0.67
"Aug 12, 2021",Spain,0.9
"Aug 11, 2021",Malaysia,-0.43
"Aug 11, 2021",United States,0.04
"Aug 11, 2021",France,0.43
"Aug 11, 2021",Italy,0.6
"Aug 11, 2021",Spain,0.89
"Aug 10, 2021",Malaysia,-0.51
"Aug 10, 2021",United States,0.01
"Aug 10, 2021",France,0.46
"Aug 10, 2021",Italy,0.81
"Aug 10, 2021",Spain,0.97
"Aug 9, 2021",Malaysia,-0.43
"Aug 9, 2021",United States,0.05
"Aug 9, 2021",France,0.53
"Aug 9, 2021",Italy,1.03
"Aug 9, 2021",Spain,1.27
"Aug 8, 2021",Malaysia,-0.6
"Aug 8, 2021",United States,0.24
"Aug 8, 2021",France,0.53
"Aug 8, 2021",Italy,1.03
"Aug 8, 2021",Spain,1.06
"Aug 7, 2021",Malaysia,-0.59
"Aug 7, 2021",United States,0.12
"Aug 7, 2021",France,0.56
"Aug 7, 2021",Italy,1.54
"Aug 7, 2021",Spain,1.55
"Aug 6, 2021",Malaysia,-0.52
"Aug 6, 2021",United States,0.1
"Aug 6, 2021",France,0.32
"Aug 6, 2021",Spain,0.68
"Aug 6, 2021",Italy,0.7
"Aug 5, 2021",Malaysia,-0.46
"Aug 5, 2021",United States,0.09
"Aug 5, 2021",France,0.42
"Aug 5, 2021",Italy,0.66
"Aug 5, 2021",Spain,0.79
"Aug 4, 2021",Malaysia,-0.43
"Aug 4, 2021",United States,0.06
"Aug 4, 2021",France,0.35
"Aug 4, 2021",Italy,0.53
"Aug 4, 2021",Spain,0.78
"Aug 3, 2021",Malaysia,-0.44
"Aug 3, 2021",United States,0.02
"Aug 3, 2021",France,0.43
"Aug 3, 2021",Italy,0.69
"Aug 3, 2021",Spain,0.81
"Aug 2, 2021",Malaysia,-0.43
"Aug 2, 2021",United States,0.06
"Aug 2, 2021",France,0.53
"Aug 2, 2021",Italy,0.83
"Aug 2, 2021",Spain,1.14
"Aug 1, 2021",Malaysia,-0.56
"Aug 1, 2021",United States,0.28
"Aug 1, 2021",France,0.59
"Aug 1, 2021",Italy,0.95
"Aug 1, 2021",Spain,1.21
"Jul 31, 2021",Malaysia,-0.57
"Jul 31, 2021",United States,0.17
"Jul 31, 2021",France,0.63
"Jul 31, 2021",Italy,1.28
"Jul 31, 2021",Spain,1.8
"Jul 30, 2021",Malaysia,-0.51
"Jul 30, 2021",United States,0.12
"Jul 30, 2021",France,0.42
"Jul 30, 2021",Italy,0.61
"Jul 30, 2021",Spain,0.74
"Jul 29, 2021",Malaysia,-0.44
"Jul 29, 2021",United States,0.13
"Jul 29, 2021",France,0.46
"Jul 29, 2021",Italy,0.54
"Jul 29, 2021",Spain,0.68
"Jul 28, 2021",Malaysia,-0.43
"Jul 28, 2021",United States,0.1
"Jul 28, 2021",France,0.39
"Jul 28, 2021",Italy,0.46
"Jul 28, 2021",Spain,0.6
"Jul 27, 2021",Malaysia,-0.42
"Jul 27, 2021",United States,0.05
"Jul 27, 2021",France,0.34
"Jul 27, 2021",Spain,0.55
"Jul 27, 2021",Italy,0.56
"Jul 26, 2021",Malaysia,-0.43
"Jul 26, 2021",United States,0.01
"Jul 26, 2021",France,0.45
"Jul 26, 2021",Italy,0.71
"Jul 26, 2021",Spain,0.77
"Jul 25, 2021",Malaysia,-0.59
"Jul 25, 2021",United States,0.26
"Jul 25, 2021",France,0.47
"Jul 25, 2021",Spain,0.84
"Jul 25, 2021",Italy,0.89
"Jul 24, 2021",Malaysia,-0.59
"Jul 24, 2021",United States,0.17
"Jul 24, 2021",France,0.42
"Jul 24, 2021",Italy,0.96
"Jul 24, 2021",Spain,0.96
"Jul 23, 2021",Malaysia,-0.52
"Jul 23, 2021",United States,0.13
"Jul 23, 2021",France,0.31
"Jul 23, 2021",Spain,0.5
"Jul 23, 2021",Italy,0.51
"Jul 22, 2021",Malaysia,-0.44
"Jul 22, 2021",United States,0.12
"Jul 22, 2021",France,0.43
"Jul 22, 2021",Italy,0.49
"Jul 22, 2021",Spain,0.56
"Jul 21, 2021",Malaysia,-0.47
"Jul 21, 2021",United States,0.06
"Jul 21, 2021",France,0.47
"Jul 21, 2021",Italy,0.48
"Jul 21, 2021",Spain,0.55
"Jul 20, 2021",Malaysia,-0.55
"Jul 20, 2021",United States,0.07
"Jul 20, 2021",France,0.39
"Jul 20, 2021",Spain,0.46
"Jul 20, 2021",Italy,0.48
"Jul 19, 2021",Malaysia,-0.41
"Jul 19, 2021",United States,0.08
"Jul 19, 2021",France,0.52
"Jul 19, 2021",Italy,0.61
"Jul 19, 2021",Spain,0.68
"Jul 18, 2021",Malaysia,-0.59
"Jul 18, 2021",United States,0.29
"Jul 18, 2021",France,0.7
"Jul 18, 2021",Italy,0.76
"Jul 18, 2021",Spain,0.81
"Jul 17, 2021",Malaysia,-0.6
"Jul 17, 2021",United States,0.2
"Jul 17, 2021",France,0.46
"Jul 17, 2021",Italy,0.8
"Jul 17, 2021",Spain,0.84
"Jul 16, 2021",Malaysia,-0.55
"Jul 16, 2021",United States,0.15
"Jul 16, 2021",France,0.28
"Jul 16, 2021",Italy,0.45
"Jul 16, 2021",Spain,0.51
"Jul 15, 2021",Malaysia,-0.5
"Jul 15, 2021",United States,0.14
"Jul 15, 2021",Italy,0.43
"Jul 15, 2021",France,0.45
"Jul 15, 2021",Spain,0.6
"Jul 14, 2021",Malaysia,-0.5
"Jul 14, 2021",United States,0.09
"Jul 14, 2021",France,0.31
"Jul 14, 2021",Italy,0.32
"Jul 14, 2021",Spain,0.55
"Jul 13, 2021",Malaysia,-0.49
"Jul 13, 2021",United States,0.04
"Jul 13, 2021",Italy,0.36
"Jul 13, 2021",Spain,0.43
"Jul 13, 2021",France,0.5
"Jul 12, 2021",Malaysia,-0.5
"Jul 12, 2021",France,0.01
"Jul 12, 2021",United States,0.06
"Jul 12, 2021",Italy,0.3
"Jul 12, 2021",Spain,0.48
"Jul 11, 2021",Malaysia,-0.64
"Jul 11, 2021",France,-0.08
"Jul 11, 2021",United States,0.25
"Jul 11, 2021",Italy,0.28
"Jul 11, 2021",Spain,0.54
"Jul 10, 2021",Malaysia,-0.65
"Jul 10, 2021",France,0.04
"Jul 10, 2021",United States,0.14
"Jul 10, 2021",Italy,0.48
"Jul 10, 2021",Spain,0.56
"Jul 9, 2021",Malaysia,-0.58
"Jul 9, 2021",France,0.03
"Jul 9, 2021",United States,0.06
"Jul 9, 2021",Italy,0.2
"Jul 9, 2021",Spain,0.35
"Jul 7, 2021",Malaysia,-0.52
"Jul 7, 2021",United States,0.08
"Jul 7, 2021",Italy,0.18
"Jul 7, 2021",France,0.19
"Jul 7, 2021",Spain,0.36
"Jul 6, 2021",Malaysia,-0.52
"Jul 6, 2021",France,0.11
"Jul 6, 2021",Italy,0.2
"Jul 6, 2021",United States,0.22
"Jul 6, 2021",Spain,0.28
"Jul 5, 2021",Malaysia,-0.53
"Jul 5, 2021",France,0.11
"Jul 5, 2021",United States,0.21
"Jul 5, 2021",Italy,0.3
"Jul 5, 2021",Spain,0.4
"Jul 4, 2021",Malaysia,-0.67
"Jul 4, 2021",France,-0.02
"Jul 4, 2021",United States,0.02
"Jul 4, 2021",Italy,0.38
"Jul 4, 2021",Spain,0.46
"Jul 3, 2021",Malaysia,-0.7
"Jul 3, 2021",France,-0.06
"Jul 3, 2021",United States,0.17
"Jul 3, 2021",Italy,0.45
"Jul 3, 2021",Spain,0.45
"Jul 2, 2021",Malaysia,-0.48
"Jul 2, 2021",France,-0.02
"Jul 2, 2021",Italy,0.16
"Jul 2, 2021",United States,0.19
"Jul 2, 2021",Spain,0.25
"Jul 1, 2021",Malaysia,-0.49
"Jul 1, 2021",France,0.05
"Jul 1, 2021",Italy,0.16
"Jul 1, 2021",United States,0.17
"Jul 1, 2021",Spain,0.38
"Jun 30, 2021",Malaysia,-0.46
"Jun 30, 2021",France,0.02
"Jun 30, 2021",United States,0.07
"Jun 30, 2021",Italy,0.14
"Jun 30, 2021",Spain,0.35
"Jun 29, 2021",Malaysia,-0.49
"Jun 29, 2021",United States,-0.04
"Jun 29, 2021",France,-0.01
"Jun 29, 2021",Spain,0.18
"Jun 29, 2021",Italy,0.19
"Jun 28, 2021",Malaysia,-0.49
"Jun 28, 2021",France,0.0
"Jun 28, 2021",United States,0.07
"Jun 28, 2021",Italy,0.21
"Jun 28, 2021",Spain,0.27
"Jun 27, 2021",Malaysia,-0.65
"Jun 27, 2021",France,-0.05
"Jun 27, 2021",United States,0.27
"Jun 27, 2021",Italy,0.37
"Jun 27, 2021",Spain,0.51
"Jun 26, 2021",Malaysia,-0.66
"Jun 26, 2021",France,-0.02
"Jun 26, 2021",United States,0.15
"Jun 26, 2021",Spain,0.35
"Jun 26, 2021",Italy,0.47
